Data table for: E:\YR 4 LVAY DATA\GT3X+\1119B_V2R3XPH_41sec.agd
Date, Time, Axis1,Axis2,Axis3,Steps,Inclinometer,Vector Magnitude
7/28/2011,17:07:43,121,156,65,1,1,207.85
7/28/2011,17:07:44,133,23,36,0,1,139.69
7/28/2011,17:07:45,75,89,108,0,1,158.78
7/28/2011,17:07:46,49,67,80,0,1,115.28
7/28/2011,17:07:47,30,47,38,0,1,67.48
7/28/2011,17:07:48,144,101,150,1,1,231.16
7/28/2011,17:07:49,193,289,185,0,1,393.69
7/28/2011,17:07:50,90,88,111,0,1,167.82
7/28/2011,17:07:51,6,106,0,1,1,106.17
7/28/2011,17:07:52,0,21,0,0,3,21
7/28/2011,17:07:53,0,32,0,0,1,32
7/28/2011,17:07:54,1,26,13,0,3,29.09
7/28/2011,17:07:55,73,84,21,1,1,113.25
7/28/2011,17:07:56,62,320,122,1,1,348.03
7/28/2011,17:07:57,44,144,26,0,1,152.8
7/28/2011,17:07:58,29,4,11,0,1,31.27
7/28/2011,17:07:59,0,0,0,0,2,0
7/28/2011,17:08:00,0,11,0,0,2,11
7/28/2011,17:08:01,1,0,15,0,2,15.03
7/28/2011,17:08:02,0,11,0,0,2,11
7/28/2011,17:08:03,50,97,33,1,1,114.01
7/28/2011,17:08:04,52,33,6,1,1,61.88
7/28/2011,17:08:05,151,194,92,1,1,262.49
7/28/2011,17:08:06,80,83,143,0,1,183.68
7/28/2011,17:08:07,65,92,145,0,1,183.61
7/28/2011,17:08:08,41,85,85,1,1,127.01
7/28/2011,17:08:09,0,48,33,0,1,58.25
7/28/2011,17:08:10,0,1,0,0,1,1
7/28/2011,17:08:11,0,0,0,0,3,0
7/28/2011,17:08:12,0,0,0,0,3,0
7/28/2011,17:08:13,0,0,0,0,3,0
7/28/2011,17:08:14,114,237,23,0,1,264
7/28/2011,17:08:15,130,245,94,1,1,292.85
7/28/2011,17:08:16,44,79,85,2,1,124.1
7/28/2011,17:08:17,0,6,22,0,2,22.8
7/28/2011,17:08:18,5,7,13,0,2,15.59
7/28/2011,17:08:19,10,95,54,0,1,109.73
7/28/2011,17:08:20,0,52,34,0,2,62.13
7/28/2011,17:08:21,18,20,9,0,1,28.37
7/28/2011,17:08:22,6,3,2,1,2,7
7/28/2011,17:08:23,9,36,5,0,1,37.44
7/28/2011,17:08:24,11,105,10,0,1,106.05
7/28/2011,17:08:25,104,97,43,1,1,148.57
7/28/2011,17:08:26,96,182,16,1,1,206.39
7/28/2011,17:08:27,40,27,46,1,1,66.67
7/28/2011,17:08:28,11,7,9,1,1,15.84
7/28/2011,17:08:29,0,0,4,0,2,4
7/28/2011,17:08:30,0,1,0,0,2,1
7/28/2011,17:08:31,0,133,43,0,2,139.78
7/28/2011,17:08:32,74,94,40,1,1,126.14
7/28/2011,17:08:33,151,85,88,1,1,194.35
7/28/2011,17:08:34,81,156,117,0,1,211.15
7/28/2011,17:08:35,75,99,48,0,1,133.15
7/28/2011,17:08:36,0,88,13,0,1,88.96
7/28/2011,17:08:37,0,33,6,0,1,33.54
7/28/2011,17:08:38,13,19,24,0,1,33.26
7/28/2011,17:08:39,35,115,1,0,1,120.21
7/28/2011,17:08:40,95,478,67,1,1,491.93
7/28/2011,17:08:41,29,84,18,0,1,90.67
7/28/2011,17:08:42,20,5,0,0,1,20.62
7/28/2011,17:08:43,15,87,34,0,1,94.6
7/28/2011,17:08:44,25,123,58,0,1,138.27
7/28/2011,17:08:45,33,99,59,1,1,119.88
7/28/2011,17:08:46,108,250,164,0,1,317.9
7/28/2011,17:08:47,55,99,135,0,1,176.21
7/28/2011,17:08:48,39,49,110,0,1,126.58
7/28/2011,17:08:49,0,0,74,0,1,74
7/28/2011,17:08:50,0,0,31,0,1,31
7/28/2011,17:08:51,0,0,0,0,1,0
7/28/2011,17:08:52,0,46,16,0,1,48.7
7/28/2011,17:08:53,9,8,16,1,1,20.02
7/28/2011,17:08:54,22,58,2,0,1,62.06
7/28/2011,17:08:55,18,12,19,0,1,28.79
7/28/2011,17:08:56,0,0,1,0,3,1
7/28/2011,17:08:57,0,0,0,0,3,0
7/28/2011,17:08:58,0,0,0,0,3,0
7/28/2011,17:08:59,23,0,38,1,1,44.42
7/28/2011,17:09:00,16,48,32,1,1,59.87
7/28/2011,17:09:01,175,153,213,1,1,315.28
7/28/2011,17:09:02,33,125,195,1,1,233.96
7/28/2011,17:09:03,145,269,147,0,1,339.11
7/28/2011,17:09:04,188,284,163,0,1,377.58
7/28/2011,17:09:05,62,91,57,0,1,123.99
7/28/2011,17:09:06,22,48,164,1,1,172.29
7/28/2011,17:09:07,46,0,87,0,1,98.41
7/28/2011,17:09:08,9,5,36,0,1,37.44
7/28/2011,17:09:09,94,41,142,1,1,175.16
7/28/2011,17:09:10,8,46,44,0,1,64.16
7/28/2011,17:09:11,5,19,6,0,1,20.54
7/28/2011,17:09:12,0,13,6,0,1,14.32
7/28/2011,17:09:13,0,0,19,0,1,19
7/28/2011,17:09:14,0,20,41,0,1,45.62
7/28/2011,17:09:15,11,22,88,0,1,91.37
7/28/2011,17:09:16,0,35,23,0,1,41.88
7/28/2011,17:09:17,0,20,22,0,1,29.73
7/28/2011,17:09:18,0,0,0,0,1,0
7/28/2011,17:09:19,0,0,0,0,1,0
7/28/2011,17:09:20,0,0,0,0,1,0
7/28/2011,17:09:21,0,0,0,0,1,0
7/28/2011,17:09:22,0,0,0,0,1,0
7/28/2011,17:09:23,0,0,0,0,1,0
7/28/2011,17:09:24,0,0,0,0,1,0
7/28/2011,17:09:25,0,0,0,0,1,0
7/28/2011,17:09:26,0,0,0,0,1,0
7/28/2011,17:09:27,0,14,20,0,1,24.41
7/28/2011,17:09:28,0,9,34,0,1,35.17
7/28/2011,17:09:29,0,8,13,0,1,15.26
7/28/2011,17:09:30,0,0,4,0,1,4
7/28/2011,17:09:31,0,6,16,0,3,17.09
7/28/2011,17:09:32,0,14,31,0,1,34.01
7/28/2011,17:09:33,0,0,0,0,1,0
7/28/2011,17:09:34,0,0,0,0,1,0
