Data table for: E:\YR 4 LVAY DATA\GT3X+\Hip\1155_V2L3XP_41sec.agd
Date, Time, Axis1,Axis2,Axis3,Inclinometer,Vector Magnitude
2/10/2011,16:06:00,17,27,96,1,101.16
2/10/2011,16:06:01,120,80,111,1,181.99
2/10/2011,16:06:02,301,65,85,1,319.45
2/10/2011,16:06:03,211,88,113,1,255.02
2/10/2011,16:06:04,57,64,24,1,89
2/10/2011,16:06:05,43,98,37,1,113.23
2/10/2011,16:06:06,50,132,119,1,184.62
2/10/2011,16:06:07,69,78,97,1,142.32
2/10/2011,16:06:08,51,99,70,1,131.54
2/10/2011,16:06:09,199,163,168,1,307.24
2/10/2011,16:06:10,86,274,265,1,390.76
2/10/2011,16:06:11,113,175,66,1,218.52
2/10/2011,16:06:12,102,98,79,1,162.02
2/10/2011,16:06:13,150,79,147,1,224.39
2/10/2011,16:06:14,40,48,54,1,82.58
2/10/2011,16:06:15,67,84,36,1,113.32
2/10/2011,16:06:16,28,28,10,1,40.84
2/10/2011,16:06:17,64,37,49,1,88.69
2/10/2011,16:06:18,32,12,55,1,64.75
2/10/2011,16:06:19,62,22,51,1,83.24
2/10/2011,16:06:20,27,25,94,1,100.95
2/10/2011,16:06:21,227,281,74,1,368.74
2/10/2011,16:06:22,135,125,87,1,203.52
2/10/2011,16:06:23,129,140,141,1,236.9
2/10/2011,16:06:24,197,106,248,1,333.99
2/10/2011,16:06:25,210,127,179,1,303.76
2/10/2011,16:06:26,115,103,305,1,341.85
2/10/2011,16:06:27,25,7,82,1,86.01
2/10/2011,16:06:28,16,18,39,1,45.84
2/10/2011,16:06:29,3,1,0,1,3.16
2/10/2011,16:06:30,0,0,0,3,0
2/10/2011,16:06:31,0,0,0,3,0
2/10/2011,16:06:32,0,63,39,1,74.09
2/10/2011,16:06:33,8,1,38,1,38.85
2/10/2011,16:06:34,10,27,15,1,32.47
2/10/2011,16:06:35,8,79,24,1,82.95
2/10/2011,16:06:36,0,37,25,1,44.65
2/10/2011,16:06:37,0,38,42,1,56.64
2/10/2011,16:06:38,36,72,56,1,98.06
2/10/2011,16:06:39,1,29,34,3,44.7
2/10/2011,16:06:40,19,76,17,1,80.16
2/10/2011,16:06:41,47,26,65,1,84.32
2/10/2011,16:06:42,0,20,0,3,20
2/10/2011,16:06:43,0,4,16,3,16.49
2/10/2011,16:06:44,0,28,32,3,42.52
2/10/2011,16:06:45,2,10,54,3,54.95
2/10/2011,16:06:46,12,107,46,1,117.09
2/10/2011,16:06:47,37,39,93,1,107.42
2/10/2011,16:06:48,38,83,73,1,116.88
2/10/2011,16:06:49,57,22,111,1,126.7
2/10/2011,16:06:50,157,29,92,1,184.27
2/10/2011,16:06:51,211,2,238,1,318.07
2/10/2011,16:06:52,34,0,61,1,69.84
2/10/2011,16:06:53,40,29,72,1,87.32
2/10/2011,16:06:54,0,60,28,1,66.21
2/10/2011,16:06:55,57,41,102,1,123.83
2/10/2011,16:06:56,74,83,211,1,238.51
2/10/2011,16:06:57,14,65,94,1,115.14
2/10/2011,16:06:58,51,66,79,1,114.88
2/10/2011,16:06:59,36,9,120,1,125.61
2/10/2011,16:07:00,27,45,106,1,118.28
2/10/2011,16:07:01,7,46,55,1,72.04
2/10/2011,16:07:02,4,37,30,3,47.8
2/10/2011,16:07:03,45,77,89,1,126
2/10/2011,16:07:04,0,42,34,1,54.04
2/10/2011,16:07:05,3,54,13,3,55.62
2/10/2011,16:07:06,86,91,3,1,125.24
2/10/2011,16:07:07,33,64,0,1,72.01
2/10/2011,16:07:08,96,98,30,1,140.43
2/10/2011,16:07:09,67,85,88,1,139.49
2/10/2011,16:07:10,69,98,137,1,182.03
2/10/2011,16:07:11,82,121,86,1,169.59
2/10/2011,16:07:12,86,43,129,1,160.89
