Data table for: E:\YR 4 LVAY DATA\GT3X+\Hip\1068_V2R3XP_41sec.agd
Date, Time, Axis1,Axis2,Axis3,Inclinometer,Vector Magnitude
3/10/2011,15:57:00,28,25,81,1,89.27
3/10/2011,15:57:01,33,51,207,1,215.73
3/10/2011,15:57:02,30,34,27,1,52.77
3/10/2011,15:57:03,29,99,56,1,117.38
3/10/2011,15:57:04,179,171,84,1,261.42
3/10/2011,15:57:05,178,267,141,1,350.51
3/10/2011,15:57:06,20,52,76,1,94.23
3/10/2011,15:57:07,33,80,59,1,104.74
3/10/2011,15:57:08,37,58,55,1,88.08
3/10/2011,15:57:09,73,49,20,1,90.17
3/10/2011,15:57:10,117,68,29,1,138.4
3/10/2011,15:57:11,32,17,49,1,60.94
3/10/2011,15:57:12,22,1,15,1,26.65
3/10/2011,15:57:13,52,60,119,1,143.06
3/10/2011,15:57:14,23,13,89,1,92.84
3/10/2011,15:57:15,50,41,28,1,70.46
3/10/2011,15:57:16,0,0,42,3,42
3/10/2011,15:57:17,0,0,4,3,4
3/10/2011,15:57:18,0,0,0,3,0
3/10/2011,15:57:19,0,0,0,3,0
3/10/2011,15:57:20,0,0,3,3,3
3/10/2011,15:57:21,0,0,0,3,0
3/10/2011,15:57:22,0,0,0,3,0
3/10/2011,15:57:23,0,0,0,3,0
3/10/2011,15:57:24,0,0,10,3,10
3/10/2011,15:57:25,0,14,0,3,14
3/10/2011,15:57:26,4,0,7,3,8.06
3/10/2011,15:57:27,29,0,31,1,42.45
3/10/2011,15:57:28,12,0,15,1,19.21
3/10/2011,15:57:29,0,0,0,3,0
3/10/2011,15:57:30,6,0,0,3,6
3/10/2011,15:57:31,3,8,0,3,8.54
3/10/2011,15:57:32,0,4,0,3,4
3/10/2011,15:57:33,0,0,0,3,0
3/10/2011,15:57:34,4,13,7,3,15.3
3/10/2011,15:57:35,36,16,40,1,56.14
3/10/2011,15:57:36,11,18,17,1,27.09
3/10/2011,15:57:37,35,10,17,1,40.17
3/10/2011,15:57:38,21,0,41,1,46.07
3/10/2011,15:57:39,51,27,40,1,70.21
3/10/2011,15:57:40,50,13,29,1,59.25
3/10/2011,15:57:41,44,41,64,1,87.82
3/10/2011,15:57:42,110,67,71,1,147.07
3/10/2011,15:57:43,21,54,56,1,80.58
3/10/2011,15:57:44,16,61,6,1,63.35
3/10/2011,15:57:45,57,121,52,1,143.51
3/10/2011,15:57:46,41,89,35,1,104.05
3/10/2011,15:57:47,109,121,60,1,173.56
3/10/2011,15:57:48,53,82,42,1,106.29
3/10/2011,15:57:49,35,13,36,1,51.87
3/10/2011,15:57:50,37,0,41,1,55.23
3/10/2011,15:57:51,16,0,10,1,18.87
3/10/2011,15:57:52,6,5,28,3,29.07
3/10/2011,15:57:53,21,17,48,1,55.08
3/10/2011,15:57:54,35,0,18,1,39.36
3/10/2011,15:57:55,0,0,0,2,0
3/10/2011,15:57:56,28,10,13,1,32.45
3/10/2011,15:57:57,56,9,35,1,66.65
3/10/2011,15:57:58,254,52,122,1,286.54
3/10/2011,15:57:59,295,122,62,1,325.2
3/10/2011,15:58:00,141,171,166,1,276.91
